,Slug Name,Encoder,Average Error,Average Std,Expected Height
0,20230516-3c4686,Left,-0.4935482275218431,0.1125603155483172,24.309798367479207
1,20230516-3c4686,Right,-0.47094612189304946,0.11340887657192268,24.309798367479207
2,20230516-3c4686,External,-0.2874338238804758,0.16322308535203242,24.309798367479207
3,20230131-7e2700,Left,-0.9826908366116011,0.23937323195624538,40.03381382247093
4,20230131-7e2700,Right,-0.7298892084512393,0.2892119463198828,40.03381382247093
5,20230131-7e2700,External,-0.7187476183468955,0.30951030983512756,40.03381382247093
6,20230522-1ac0e6,Left,-0.8266926915239552,0.12318531445129409,40.43692230226852
7,20230522-1ac0e6,Right,-3.840830080337388,3.0191322086302796,40.43692230226852
8,20230522-1ac0e6,External,-0.6887651533906499,0.2475328811590304,40.43692230226852
9,20230508-04487e,Left,-0.8500011098285477,0.11423806843977294,40.92221063861391
10,20230508-04487e,Right,-1.056180695950881,0.2718925838552038,40.92221063861391
11,20230508-04487e,External,-0.23702362275706979,0.22287388983576237,40.92221063861391
12,20230427-e92647,Left,-0.496306463820873,0.11428779586651651,24.49839938970158
13,20230427-e92647,Right,-1.314424041202132,1.174440387537711,24.49839938970158
14,20230427-e92647,External,-0.46512751335255875,0.132752358587747,24.49839938970158
15,20230615-086467,Left,-0.6328354266606332,0.09930126435817185,32.44716223899527
16,20230615-086467,Right,0.0,0.0,0.0
17,20230615-086467,External,-0.44702502194322363,0.09958513787789895,32.44716223899527
